Student,Section,HW1 (964255),HW2 (965903),HW3 (967257),HW4 (968731),Probl Bank M1 (967258),03-31 (954343),04-02 (959106),04-04 (960143),04-07 (960865),04-09 (961591),04-11 (962250),04-14 (963050),04-16 (963544),04-18 (964016),04-21 (964564),04-23 (965228),04-25 (965710),04-28 (965990),04-30 (966636),05-02 (967106),05-05 (967480),05-07 (967949),05-09 (968441),DI WK 1 (958415),DI WK 2 (961410),DI WK 3 (963056),DI WK 4 (964863),DI WK5 (965902),DI WK 6 (967781),Week 2 HW - Precalc 2e Section 1.1 (959893),Week 2 HW - Precalc 2e Section 1.2 (959895),Week 3 HW - 1.3 Precalc 2e (961458),Week 3 HW - 1.5 Precalc 2e (961459),Week 4 HW - 2.1 Precalc 2e (963053),Week 4 HW - 2.2 Precalc 2e (963054),Week 4 HW - 2.3 Precalc 2e (963055),Week 5 HW - 1.5 CA / 2.5 P (964862),Week 6 HW - 3.2 Precalc 2e (965987),Week 7 HW - 3.3-3.4 Precalc 2e (967483),Midterm 1 (967259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seat Assignments Final Score,Seat Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
    Points Possible,,45,45,45,45,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,10,10,1,1,1,1,1,18,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(read only),(read only),(read only),(read only),(read only),(read only)
Student 1,MATH 3B - A04 [848369],,,42,,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,10,1,1,1,1,1,,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.48,75.48,60.9,60.9
Student 2,MATH 3B - A01 [848358],44,,41,42,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,,10,9,10,8,1,1,0.86,1,,,37.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.43,80.43,69.53,69.53
Student 3,MATH 3B - A03 [848368],45,,,,,1,,1,,1,,1,,,,,,1,,,,,,,1,,,,,10,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.18,87.18,7.81,7.81
Student 4,MATH 3B - A02 [848359],42.75,34,25.5,40,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,10,9,10,10,1,1,0.86,1,1,18,42.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,85.19,84.52,84.52
Student 5,MATH 3B - A02 [848359],45,39,41.5,39,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,10,9,10,10,1,1,1,1,,,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.72,93.72,90.89,90.89
Student 6,MATH 3B - A03 [848368],42,40.5,42.5,38,45,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,8.89,8,1,1,1,1,,,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.23,47.23,44.11,44.11
Student 7,MATH 3B - A02 [848359],45,39,37.5,42,45,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,10,9,1,0.88,1,0.94,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.31,81.31,78.63,78.63
Student 8,MATH 3B - A02 [848359],45,45,44.5,43,45,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,,1,1,10,9,10,10,1,1,1,1,,,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.38,86.38,82.76,82.76
Student 9,MATH 3B - A02 [848359],45,43,44,41,45,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,10,9,10,10,1,1,1,1,,,43.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.25,89.25,85.47,85.47
Student 10,MATH 3B - A04 [848369],38,39,39,39,45,1,1,1,1,1,,1,,,1,,,1,1,1,1,,,1,1,,1,,,10,9,10,10,0.67,,,1,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.17,91.17,86.36,86.36
Student 11,MATH 3B - A02 [848359],44,38,42.25,43,45,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,10,,10,10,1,1,1,1,,,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,82.2,77.37,77.37
Student 12,MATH 3B - A02 [848359],40,40,40.5,34,45,,1,1,1,1,1,1,,,1,,1,1,1,,,1,1,1,1,1,,,1,10,9,10,10,1,1,1,1,1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.12,95.12,90.97,90.97
Student 13,MATH 3B - A01 [848358],44,43,41,,45,1,1,1,1,,1,1,0,,1,1,,1,1,,,,,1,1,1,1,,,10,9,10,9,1,1,1,0.78,1,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,75.18,75.18
Student 14,MATH 3B - A03 [848368],45,40,38.5,40,45,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,,,10,9,10,10,1,1,1,1,0.88,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9,95.9,92.54,92.54
Student 15,MATH 3B - A04 [848369],,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,,,,,,10,10,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,5.6,5.6
Student 16,MATH 3B - A04 [848369],44,43,43,13,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,7,1,0.88,,,1,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.02,83.02,79.98,79.98
Student 17,MATH 3B - A03 [848368],38.75,,42,40,45,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,,10,8,1,0.88,1,1,1,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.84,78.84,71.42,71.42
Student 18,MATH 3B - A03 [848368],,,,,,1,1,1,,,,1,1,,,,1,1,,,,,,1,1,,1,,,,,10,9,1,1,1,,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.88,28.88,15.29,15.29
Student 19,MATH 3B - A02 [848359],45,43.5,43,36,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,10,10,1,1,1,1,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.58,97.58,95.16,95.16
Student 20,MATH 3B - A01 [848358],36,38,42.75,40,45,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,10,8,7.78,8,0.83,0.63,0.86,1,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.25,90.25,87.85,87.85
Student 21,MATH 3B - A03 [848368],41,36,44.25,40,45,1,,1,1,,0,1,1,,1,1,,1,1,1,1,,1,,1,1,,,,10,9,10,10,0.83,1,1,0.94,,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.44,76.44,71.89,71.89
Student 22,MATH 3B - A04 [848369],42,17,42.5,43,45,1,1,1,1,1,1,1,,,,1,,1,1,1,,1,1,1,,1,1,,,10,9,10,10,1,1,1,1,,,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.79,82.79,78.42,78.42
Student 23,MATH 3B - A03 [848368],45,43,44.5,34,45,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,10,9,10,9,1,1,1,1,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.38,93.38,89.18,89.18
Student 24,MATH 3B - A04 [848369],40,42,43,40.5,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,10,1,1,1,0.94,,,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96,85.96,82.85,82.85
Student 25,MATH 3B - A01 [848358],40,24,37.5,34,45,1,1,1,1,0,,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,10,9,10,9,,,,1,,,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.07,71.07,67.46,67.46
Student 26,MATH 3B - A01 [848358],40,44,44.25,41,45,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,10,9,10,10,1,1,1,0.94,0.44,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.31,96.31,93.18,93.18
Student 27,MATH 3B - A03 [848368],42.5,38,,37,45,,1,1,1,1,1,1,,,,1,1,1,1,1,,1,,,1,,,,,10,9,10,10,1,1,1,1,1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.44,95.44,87.04,87.04
Student 28,MATH 3B - A04 [848369],43,43,,43,45,,1,,,,1,1,1,1,1,1,,1,1,,,,,,1,1,1,,,,,10,10,1,1,1,1,,,39.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.97,83.97,72.6,72.6
Student 29,MATH 3B - A02 [848359],41,44,44.5,43,45,1,1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,,,,1,1,,10,9,10,10,1,1,1,1,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.03,98.03,93.71,93.71
Student 30,MATH 3B - A04 [848369],44,39.5,38.5,38,45,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,,,,10,9,10,10,1,1,1,1,,,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.17,84.17,80.31,80.31
Student 31,MATH 3B - A01 [848358],44,45,43.25,40.5,45,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,10,9,10,10,1,1,1,1,1,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.21,90.21,87.12,87.12
Student 32,MATH 3B - A03 [848368],43,45,43,33,45,1,1,1,1,1,1,1,,,,1,,1,,1,1,,1,,1,1,1,,,10,9,10,10,1,0.88,0.86,0.94,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.91,78.91,74.36,74.36
Student 33,MATH 3B - A01 [848358],,41,0,32,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.68,44.68,6.88,6.88
Student 34,MATH 3B - A02 [848359],45,42,44.25,34,45,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,10,9,10,10,1,1,1,1,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.85,90.85,87.43,87.43
Student 35,MATH 3B - A04 [848369],43,13,33.25,18,45,,,1,1,1,1,1,1,,1,,,1,,,,,,,1,,,,,10,9,0,3,1,1,1,0.94,,,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.07,48.07,43.38,43.38
Student 36,MATH 3B - A01 [848358],9,40,42.5,41,45,,,,,,,1,1,,,,,1,,1,,1,,,,1,,1,1,10,9,0,0,,1,1,0.61,0.63,2,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.95,80.95,77.71,77.71
Student 37,MATH 3B - A01 [848358],,,,,,1,,,0,,,1,,,,,,1,,,,,,,,,,,,10,9,10,9,1,1,1,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.01,91.01,6.22,6.22
Student 38,MATH 3B - A01 [848358],40,35,39.5,41,45,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,8.89,10,1,1,1,0.94,,,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.59,64.59,61.91,61.91
Student 39,MATH 3B - A04 [848369],42,42,42,43,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,9,1,0.88,1,0.89,1,16,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.67,94.67,94.11,94.11
Student 40,MATH 3B - A04 [848369],39,38,,38.5,45,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,10,9,10,10,1,0.88,,0.94,0.56,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,95.1,88.26,88.26
Student 41,MATH 3B - A02 [848359],44,43,43,43,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10,9,10,10,1,1,1,0.94,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.83,92.83,90,90
Student 42,MATH 3B - A03 [848368],44,43,44.5,39,45,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,,,10,9,10,10,1,1,1,1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.85,97.85,94.27,94.27
Student 43,MATH 3B - A04 [848369],40,36,42,,45,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,,1,,,10,9,10,9,1,1,1,1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.61,96.61,89.07,89.07
Student 44,MATH 3B - A01 [848358],,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,0.39,0.39
Student 45,MATH 3B - A03 [848368],42,,44.25,41,45,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,,,,,10,9,10,10,1,1,1,1,,,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.96,63.96,56.29,56.29
Student 46,MATH 3B - A03 [848368],41,,41,,45,,,,1,,,1,,,,,,1,,,,,,,1,1,1,,,10,9,10,10,1,1,1,,1,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.28,92.28,78.62,78.62
Student 47,MATH 3B - A01 [848358],44,44,44.5,42,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,10,9,10,10,1,1,1,1,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,96.9,93.79,93.79
Student 48,MATH 3B - A04 [848369],44,40,44.5,41.5,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,10,9,10,10,0.83,1,1,1,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.16,95.16,91.78,91.78
Student 49,MATH 3B - A04 [848369],21,14,,,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,,1,1,1,,,,10,9,10,10,1,1,1,0.5,1,,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.33,55.33,46.85,46.85
Student 50,MATH 3B - A03 [848368],38,40,44.25,43,45,1,1,1,1,1,,1,1,1,1,,,1,,,,1,,,1,1,,,,10,9,10,10,1,1,1,1,,,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.34,66.34,61.49,61.49
Student 51,MATH 3B - A01 [848358],40,34.5,41.5,33,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,10,9,10,10,1,1,1,1,1,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02,92.02,89.4,89.4
Student 52,MATH 3B - A01 [848358],,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,0.39,0.39
Student 53,MATH 3B - A03 [848368],40,38,41,40,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,9,1,1,1,0.89,,,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.25,81.25,78.21,78.21
Student 54,MATH 3B - A04 [848369],45,40,41,35,,,,,,,,1,1,,1,,,1,1,,,,,,,,,,,,,8.89,10,1,1,1,1,1,,35.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.54,76.54,64.58,64.58
Student 55,MATH 3B - A02 [848359],38,38.5,41,40.5,45,1,1,1,1,1,,1,1,1,,1,,1,,1,1,1,1,1,1,1,,,,10,9,10,10,1,1,1,1,,9,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.05,85.05,83.32,83.32
Student 56,MATH 3B - A03 [848368],41,42.5,41,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,,10,9,10,10,1,1,1,1,,,27.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,67.4,56.44,56.44
Student 57,MATH 3B - A01 [848358],41,36,40,43,45,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,,,1,,1,,,,10,9,8.89,10,1,1,1,1,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.63,83.63,79.24,79.24
Student 58,MATH 3B - A02 [848359],44,39,43,40,45,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,,,1,,,,,10,,10,10,1,1,1,1,,,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.85,93.85,88.11,88.11
Student 59,MATH 3B - A02 [848359],,9,23.5,12,45,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,10,10,1,1,,1,,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.91,41.91,34.2,34.2
Student 60,MATH 3B - A04 [848369],21,0,13,16,45,1,1,,1,,1,1,,,,0,1,1,1,1,,,1,1,,1,,,,10,9,10,8,1,1,1,1,,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.11,35.11,30.33,30.33
