Category,Key:
Presets:,Get Help/Explanation
Presets:,Suggested Prompt
Problem Solving:,"""Step-by-step"""
Problem Solving:,Clarification on Tutor's Steps
Problem Solving:,How to...
Problem Solving:,More practice
Problem Solving:,Specific question
Problem Solving:,Steps
Problem Solving:,What is e
Confirmation,Answer confirmation
Confirmation,Answer/process confirmation
Confirmation,Why wrong
Asking for Answers,Asking for answer
Asking for Answers,Asking for partial answer
Asking for Answers,Calculation
Help Needed/Confusion,Help
Help Needed/Confusion,Confusion
Other non-math related,Formatting
Other non-math related,Input Issue
Other non-math related,Thanks
Other non-math related,Typo/correction
Other non-math related,UI/UX
Other non-math related,No (to tutor's question)
Other non-math related,Yes (to tutor's question)
