Key:,Num_of_Questions
"""Step-by-step""",47
Answer confirmation,194
Answer/process confirmation,307
Asking for answer,63
Asking for partial answer,30
Calculation,19
Clarification on Tutor's Steps,28
Confusion,39
Formatting,80
Get Help/Explanation,515
Help,59
How to...,140
Input Issue,9
Input Issues,0
More practice,5
No (to tutor's question),2
Specific question,162
Steps,47
Suggested Prompt,124
Thanks,4
Typo/correction,18
UI/UX,9
What is e,11
Why wrong,13
Yes (to tutor's question),46
